code,PI,name,pre_close,price,change,time
300572,3.482142857142857,安车检测,45.400,46.130,1.61,09:47
600536,3.21115126484254,中国软件,27.930,28.480,1.97,09:47
300684,3.1372549019607843,中石科技,84.160,86.960,3.33,09:47
002410,3.095752339812815,广联达,28.990,29.810,2.83,09:47
600987,3.067507418397626,航民股份,9.270,9.410,1.51,09:47
002311,2.9518072289156625,海大集团,20.290,20.500,1.03,09:47
603986,2.814070351758794,兆易创新,111.170,113.500,2.10,09:47
600299,2.6556513409961684,安迪苏,11.830,11.950,1.01,09:47
002675,2.641638225255973,东诚药业,8.940,9.300,4.03,09:47
300523,2.5757575757575757,辰安科技,65.000,65.680,1.05,09:47
300134,2.5240715268225586,大富科技,11.330,11.570,2.12,09:47
300015,2.4425287356321843,爱尔眼科,32.350,32.700,1.08,09:47
600138,2.423117709437964,中青旅,16.000,16.310,1.94,09:47
603676,2.4136546184738954,卫信康,15.660,15.960,1.92,09:47
300513,2.340425531914893,恒泰实达,22.860,23.450,2.58,09:47
601869,4.324324324324324,长飞光纤,47.090,48.990,4.03,09:48
300136,3.8269454123112654,信维通信,33.380,34.250,2.61,09:48
600201,3.646828312515307,生物股份,15.820,16.140,2.02,09:48
300572,3.524096385542169,安车检测,45.400,46.130,1.61,09:48
600877,3.3968288923144683,ST嘉陵,4.970,5.210,4.83,09:48
600845,3.3201058201058204,宝信软件,26.210,27.050,3.20,09:48
600682,3.273886527444095,南京新百,11.640,11.880,2.06,09:48
300091,2.9763427109974425,金通灵,10.000,10.630,6.30,09:48
600987,2.9326241134751774,航民股份,9.270,9.400,1.40,09:48
002675,2.853982300884956,东诚药业,8.940,9.310,4.14,09:48
002741,2.799145299145299,光华科技,14.730,14.990,1.77,09:48
600610,2.78272656855151,*ST毅达,1.400,1.460,4.29,09:48
300684,2.762430939226519,中石科技,84.160,86.600,2.90,09:48
600771,2.7536231884057973,广誉远,41.540,41.990,1.08,09:48
600804,2.702970297029703,鹏博士,11.500,11.680,1.57,09:48
600520,2.6996197718631176,文一科技,16.450,17.060,3.71,09:48
002410,2.6699629171817056,广联达,28.990,29.840,2.93,09:48
600588,2.5675675675675675,用友网络,27.680,28.760,3.90,09:48
300384,4.229979466119096,三联虹普,35.600,35.990,1.10,09:49
600201,3.8581890812250332,生物股份,15.820,16.110,1.83,09:49
603602,3.679611650485437,纵横通信,25.160,25.510,1.39,09:49
600867,3.585278276481149,通化东宝,21.640,21.860,1.02,09:49
603713,3.304535637149028,密尔克卫,44.860,45.380,1.16,09:49
600271,3.1383792048929666,航天信息,28.020,28.790,2.75,09:49
300684,3.0319148936170213,中石科技,84.160,86.680,2.99,09:49
002262,3.0200860832137733,恩华药业,16.720,16.930,1.26,09:49
002876,2.910958904109589,三利谱,51.400,52.200,1.56,09:49
002714,2.8846153846153846,牧原股份,25.200,25.520,1.27,09:49
600682,2.875609756097561,南京新百,11.640,11.860,1.89,09:49
300136,2.8424092409240926,信维通信,33.380,34.260,2.64,09:49
002741,2.7934936350777932,光华科技,14.730,14.990,1.77,09:49
600345,2.741330834114339,长江通信,25.030,25.780,3.00,09:49
002311,2.7360515021459233,海大集团,20.290,20.500,1.03,09:49
000821,2.6612903225806455,京山轻机,8.960,9.100,1.56,09:49
600329,2.6375404530744335,中新药业,18.570,18.780,1.13,09:49
002268,2.590799031476998,卫 士 通,19.220,20.230,5.25,09:49
300572,3.740079365079365,安车检测,45.400,46.150,1.65,09:50
603659,3.2512315270935965,璞泰来,49.420,50.130,1.44,09:50
300348,3.2175032175032174,长亮科技,29.920,30.780,2.87,09:50
002594,2.9846938775510203,比亚迪,41.690,42.500,1.94,09:50
